lead_id,customer,country,city,sales_rep,technician,product,quote_value,quote_status,lead_created_date,quote_sent_date,quote_accepted_date,invoice_date,payment_date,order_release_date,build_date,ship_date,scheduled_date,install_date,activation_date,lifecycle_stage,issue_type,owner_team,severity,recommended_action,is_exception,value_at_risk,days_delayed,days_lead_to_quote,days_quote_to_payment,days_payment_to_install,days_install_to_active,days_lead_to_active
EVX-1001,Canterbury Solar Homes,NZ,Christchurch,Ava Chen,Mia Hall,Wallbox Pro 7kW,3200,ACCEPTED,2025-03-02,2025-03-05,2025-03-08,2025-03-09,2025-03-11,2025-03-12,2025-03-14,2025-03-18,2025-03-25,,,Installation backlog,installation-backlog,Install Coordination,Critical,Confirm technician appointment with customer,YES,3200,22,3,3,0,0,0
EVX-1002,River Edge Apartments,NZ,Christchurch,Noah Patel,Luca Reid,Wallbox Pro 11kW,2900,ACCEPTED,2025-02-14,2025-02-16,2025-02-18,2025-02-19,2025-02-22,2025-02-24,2025-02-26,2025-03-01,2025-03-09,,,Installation backlog,installation-backlog,Install Coordination,High,Reassign technician because scheduled date has passed,YES,2900,38,2,4,0,0,0
EVX-1003,Merivale EV Collective,NZ,Christchurch,Isla Morgan,Sophie James,Dual Port Fleet 22kW,3100,ACCEPTED,2025-01-19,2025-01-22,2025-01-24,2025-01-25,2025-01-28,2025-01-30,2025-02-01,2025-02-06,2025-02-12,,,Installation backlog,installation-backlog,Install Coordination,Critical,Escalate because waiting more than 14 days,YES,3100,64,3,4,0,0,0
EVX-1004,Port Hills Builders,NZ,Christchurch,Ava Chen,Tama Wells,Wallbox Pro 7kW,3400,ACCEPTED,2025-03-08,2025-03-10,2025-03-12,2025-03-13,2025-03-16,2025-03-17,2025-03-19,2025-03-24,2025-03-30,,,Installation backlog,installation-backlog,Install Coordination,High,Check if shipped unit has arrived before confirming install,YES,3400,17,2,4,0,0,0
EVX-1005,South Shore Villas,NZ,Christchurch,Liam Gray,Mia Hall,Wallbox Lite 7kW,2800,ACCEPTED,2025-02-02,2025-02-04,2025-02-06,2025-02-07,2025-02-10,2025-02-11,2025-02-13,2025-02-17,2025-02-24,,,Installation backlog,installation-backlog,Install Coordination,High,Confirm site readiness and book the next available technician slot,YES,2800,51,2,4,0,0,0
EVX-1006,Avon Loop Offices,NZ,Christchurch,Noah Patel,Luca Reid,Wallbox Pro 11kW,3000,ACCEPTED,2025-03-11,2025-03-14,2025-03-16,2025-03-17,2025-03-20,2025-03-21,2025-03-24,2025-03-27,2025-04-02,,,Installation backlog,installation-backlog,Install Coordination,High,Confirm technician appointment with customer,YES,3000,14,3,4,0,0,0
EVX-1007,Northlands Retail NZ,NZ,Christchurch,Isla Morgan,Sophie James,Wallbox Pro 7kW,2950,ACCEPTED,2025-02-21,2025-02-24,2025-02-26,2025-02-27,2025-03-02,2025-03-03,2025-03-06,2025-03-10,2025-03-17,,,Installation backlog,installation-backlog,Install Coordination,Medium,Call customer to confirm access and technician availability,YES,2950,30,3,4,0,0,0
EVX-1008,Fendalton Green Homes,NZ,Christchurch,Ava Chen,Tama Wells,Wallbox Pro 7kW,3300,ACCEPTED,2025-01-29,2025-02-01,2025-02-04,2025-02-05,2025-02-08,2025-02-10,2025-02-12,2025-02-18,2025-02-26,,,Installation backlog,installation-backlog,Install Coordination,Critical,Escalate because waiting more than 14 days,YES,3300,49,3,4,0,0,0
EVX-1009,Canal Reserve Homes,NZ,Christchurch,Liam Gray,Mia Hall,Dual Port Fleet 22kW,3750,ACCEPTED,2025-03-01,2025-03-03,2025-03-05,2025-03-06,2025-03-09,2025-03-10,2025-03-13,2025-03-18,2025-03-23,,,Installation backlog,installation-backlog,Install Coordination,High,Review technician capacity this week and pull job forward,YES,3750,24,2,4,0,0,0
EVX-1010,Queenstown Alpine Living,NZ,Queenstown,Isla Morgan,,Wallbox Pro 11kW,3600,ACCEPTED,2025-03-02,2025-03-05,2025-03-06,2025-03-07,,,,,,,,Invoice not paid,invoice-not-paid,Finance,Critical,Follow up overdue invoice and confirm payment timeline,YES,3600,44,3,0,0,0,0
